LocationCode,RegistrarOffice
2104,อำเภอวังจันทร์
2105,อำเภอบ้านค่าย
2106,อำเภอปลวกแดง
2107,อำเภอเขาชะเมา
2108,อำเภอนิคมพัฒนา
2109,กิ่งอำเภอสุนทรภู่
2151,สาขาตำบลมาบข่า
2177,ท้องถิ่นเทศบาลตำบลพลา
2178,ท้องถิ่นเทศบาลตำบลเนินฆ้อ
2179,ท้องถิ่นเทศบาลตำบลทับมา
2180,ท้องถิ่นเทศบาลตำบลบ้านนา
2181,ท้องถิ่นเทศบาลตำบลมาบข่าพัฒนา
2182,ท้องถิ่นเทศบาลตำบลบ้านฉาง
2183,ท้องถิ่นเทศบาลตำบลมะขามคู่
2184,ท้องถิ่นเทศบาลตำบลนิคมพัฒนา
2185,ท้องถิ่นเทศบาลตำบลบ้านปลวกแดง
2186,ท้องถิ่นเทศบาลตำบลจอมพลเจ้าพระยา
2187,ท้องถิ่นเทศบาลตำบลบ้านค่าย
2188,ท้องถิ่นเทศบาลตำบลชุมแสง
2189,ท้องถิ่นเทศบาลตำบลสุนทรภู่
2190,ท้องถิ่นเทศบาลตำบลปากน้ำประแส
2191,ท้องถิ่นเทศบาลตำบลทุ่งควายกิน
2192,ท้องถิ่นเทศบาลตำบลกองดิน
2193,ท้องถิ่นเทศบาลตำบลสำนักท้อน
2194,ท้องถิ่นเทศบาลเมืองบ้านฉาง
2195,ท้องถิ่นเทศบาลตำบลบ้านเพ
2196,ท้องถิ่นเทศบาลตำบลแกลงกะเฉด
2197,ท้องถิ่นเทศบาลเมืองมาบตาพุด
2198,ท้องถิ่นเทศบาลตำบลเมืองแกลง
2199,ท้องถิ่นเทศบาลนครระยอง
2200,จังหวัดจันทบุรี
2201,อำเภอเมืองจันทบุรี
2202,อำเภอขลุง
2203,อำเภอท่าใหม่
2204,อำเภอโป่งน้ำร้อน
2205,อำเภอมะขาม
2206,อำเภอแหลมสิงห์
2207,อำเภอสอยดาว
2208,อำเภอแก่งหางแมว
2209,อำเภอนายายอาม
2210,อำเภอเขาคิชฌกูฏ
2272,ท้องถิ่นเทศบาลตำบลเขาบายศรี
2273,ท้องถิ่นเทศบาลตำบลคลองใหญ่
2274,ท้องถิ่นเทศบาลตำบลหนองตาคง
2275,ท้องถิ่นเทศบาลตำบลตกพรม
2276,ท้องถิ่นเทศบาลตำบลเกวียนหัก
2277,ท้องถิ่นเทศบาลตำบลบ่อ
2278,ท้องถิ่นเทศบาลตำบลชากไทย
2279,ท้องถิ่นเทศบาลตำบลตะเคียนทอง
2280,ท้องถิ่นเทศบาลตำบลเกาะขวาง
2281,ท้องถิ่นเทศบาลตำบลบ่อเวฬุ
2282,ท้องถิ่นเทศบาลตำบลพลวง
2283,ท้องถิ่นเทศบาลตำบลทับช้าง
2284,ท้องถิ่นเทศบาลตำบลนายายอาม
2285,ท้องถิ่นเทศบาลตำบลสอยดาว
2286,ท้องถิ่นเทศบาลตำบลพลิ้ว
2287,ท้องถิ่นเทศบาลตำบลปากน้ำแหลมสิงห์
2288,ท้องถิ่นเทศบาลตำบลมะขาม
2289,ท้องถิ่นเทศบาลตำบลโป่งน้ำร้อน
2290,ท้องถิ่นเทศบาลตำบลหนองคล้า
2291,ท้องถิ่นเทศบาลตำบลเนินสูง
2292,ท้องถิ่นเทศบาลตำบลหนองบัว
2293,ท้องถิ่นเทศบาลตำบลพลับพลานารายณ์
2294,ท้องถิ่นเทศบาลตำบลบางกะจะ
2295,ท้องถิ่นเทศบาลเมืองท่าช้าง
2296,ท้องถิ่นเทศบาลเมืองจันทนิมิต
2297,ท้องถิ่นเทศบาลเมืองขลุง
2298,ท้องถิ่นเทศบาลเมืองท่าใหม่
2299,ท้องถิ่นเทศบาลเมืองจันทบุรี
2300,จังหวัดตราด
2301,อำเภอเมืองตราด
2302,อำเภอคลองใหญ่
2303,อำเภอเขาสมิง
2304,อำเภอบ่อไร่
2305,อำเภอแหลมงอบ
2306,อำเภอเกาะกูด
2307,อำเภอเกาะช้าง
2308,กิ่งอำเภอราชการุณย์
2389,ท้องถิ่นเทศบาลตำบลตะกาง
2390,ท้องถิ่นเทศบาลตำบลหนองบอน
2391,ท้องถิ่นเทศบาลตำบลแหลมงอบ
2392,ท้องถิ่นเทศบาลตำบลน้ำเชี่ยว
2393,ท้องถิ่นเทศบาลตำบลบ่อพลอย
2394,ท้องถิ่นเทศบาลตำบลแสนตุ้ง
2395,ท้องถิ่นเทศบาลตำบลเขาสมิง
2396,ท้องถิ่นเทศบาลตำบลหาดเล็ก
2397,ท้องถิ่นเทศบาลตำบลคลองใหญ่
2398,ท้องถิ่นเทศบาลตำบลท่าพริกเนินทราย
2399,ท้องถิ่นเทศบาลเมืองตราด
2400,จังหวัดฉะเชิงเทรา
2401,อำเภอเมืองฉะเชิงเทรา
2402,อำเภอบางคล้า
2403,อำเภอบางน้ำเปรี้ยว
2404,อำเภอบางปะกง
2405,อำเภอบ้านโพธิ์
2406,อำเภอพนมสารคาม
2407,อำเภอราชสาส์น
2408,อำเภอสนามชัยเขต
2409,อำเภอแปลงยาว
2410,อำเภอท่าตะเกียบ
2411,อำเภอคลองเขื่อน
2412,กิ่งอำเภอบุรีรมย์
2413,กิ่งอำเภอดอนฉิมพลี
2474,ท้องถิ่นเทศบาลตำบลบางวัวคณารักษ์
2475,ท้องถิ่นเทศบาลตำบลพิมพา
2476,ท้องถิ่นเทศบาลตำบลวังเย็น
2477,ท้องถิ่นเทศบาลตำบลดอนเกาะกา
2478,ท้องถิ่นเทศบาลตำบลหัวสำโรง
2479,ท้องถิ่นเทศบาลตำบลแปลงยาว
2480,ท้องถิ่นเทศบาลตำบลทุ่งสะเดา
2481,ท้องถิ่นเทศบาลตำบลสนามชัยเขต
2482,ท้องถิ่นเทศบาลตำบลพนมสารคาม
2483,ท้องถิ่นเทศบาลตำบลเขาหินซ้อน
2484,ท้องถิ่นเทศบาลตำบลเกาะขนุน
2485,ท้องถิ่นเทศบาลตำบลบ้านโพธิ์
2486,ท้องถิ่นเทศบาลตำบลเทพราช
2487,ท้องถิ่นเทศบาลตำบลบางวัว
2488,ท้องถิ่นเทศบาลตำบลบางปะกง
2489,ท้องถิ่นเทศบาลตำบลหอมศีล
2490,ท้องถิ่นเทศบาลตำบลท่าสะอ้าน
2491,ท้องถิ่นเทศบาลตำบลท่าข้าม
2492,ท้องถิ่นเทศบาลตำบลศาลาแดง
2493,ท้องถิ่นเทศบาลตำบลบางน้ำเปรี้ยว
2494,ท้องถิ่นเทศบาลตำบลบางขนาก
2495,ท้องถิ่นเทศบาลตำบลดอนฉิมพลี
